,Data,Time,con_sk
145,07.01.2019,1:00:00,594.0
146,07.01.2019,2:00:00,578.0
147,07.01.2019,3:00:00,555.0
148,07.01.2019,4:00:00,546.0
149,07.01.2019,5:00:00,546.0
150,07.01.2019,6:00:00,519.0
151,07.01.2019,7:00:00,561.0
152,07.01.2019,8:00:00,599.0
153,07.01.2019,9:00:00,611.0
154,07.01.2019,10:00:00,625.0
155,07.01.2019,11:00:00,592.0
156,07.01.2019,12:00:00,606.0
157,07.01.2019,13:00:00,613.0
158,07.01.2019,14:00:00,596.0
159,07.01.2019,15:00:00,602.0
160,07.01.2019,16:00:00,694.0
161,07.01.2019,17:00:00,667.0
162,07.01.2019,18:00:00,711.0
163,07.01.2019,19:00:00,762.0
164,07.01.2019,20:00:00,779.0
165,07.01.2019,21:00:00,718.0
166,07.01.2019,22:00:00,714.0
167,07.01.2019,23:00:00,663.0
168,08.01.2019,0:00:00,645.0
169,08.01.2019,1:00:00,610.0
170,08.01.2019,2:00:00,573.0
171,08.01.2019,3:00:00,552.0
172,08.01.2019,4:00:00,540.0
173,08.01.2019,5:00:00,550.0
174,08.01.2019,6:00:00,549.0
175,08.01.2019,7:00:00,581.0
176,08.01.2019,8:00:00,634.0
177,08.01.2019,9:00:00,681.0
178,08.01.2019,10:00:00,679.0
179,08.01.2019,11:00:00,673.0
180,08.01.2019,12:00:00,695.0
181,08.01.2019,13:00:00,688.0
182,08.01.2019,14:00:00,671.0
183,08.01.2019,15:00:00,668.0
184,08.01.2019,16:00:00,716.0
185,08.01.2019,17:00:00,694.0
186,08.01.2019,18:00:00,713.0
187,08.01.2019,19:00:00,721.0
188,08.01.2019,20:00:00,746.0
189,08.01.2019,21:00:00,716.0
190,08.01.2019,22:00:00,690.0
191,08.01.2019,23:00:00,660.0
192,09.01.2019,0:00:00,627.0
193,09.01.2019,1:00:00,587.0
194,09.01.2019,2:00:00,585.0
195,09.01.2019,3:00:00,526.0
196,09.01.2019,4:00:00,560.0
197,09.01.2019,5:00:00,578.0
198,09.01.2019,6:00:00,578.0
199,09.01.2019,7:00:00,614.0
200,09.01.2019,8:00:00,626.0
201,09.01.2019,9:00:00,673.0
202,09.01.2019,10:00:00,706.0
203,09.01.2019,11:00:00,681.0
204,09.01.2019,12:00:00,662.0
205,09.01.2019,13:00:00,624.0
206,09.01.2019,14:00:00,628.0
207,09.01.2019,15:00:00,618.0
208,09.01.2019,16:00:00,659.0
209,09.01.2019,17:00:00,740.0
210,09.01.2019,18:00:00,770.0
211,09.01.2019,19:00:00,854.0
212,09.01.2019,20:00:00,773.0
213,09.01.2019,21:00:00,650.0
214,09.01.2019,22:00:00,711.0
215,09.01.2019,23:00:00,690.0
216,10.01.2019,0:00:00,641.0
217,10.01.2019,1:00:00,602.0
218,10.01.2019,2:00:00,562.0
219,10.01.2019,3:00:00,574.0
220,10.01.2019,4:00:00,566.0
221,10.01.2019,5:00:00,569.0
222,10.01.2019,6:00:00,599.0
223,10.01.2019,7:00:00,589.0
224,10.01.2019,8:00:00,673.0
225,10.01.2019,9:00:00,700.0
226,10.01.2019,10:00:00,665.0
227,10.01.2019,11:00:00,654.0
228,10.01.2019,12:00:00,664.0
229,10.01.2019,13:00:00,631.0
230,10.01.2019,14:00:00,649.0
231,10.01.2019,15:00:00,650.0
232,10.01.2019,16:00:00,672.0
233,10.01.2019,17:00:00,643.0
234,10.01.2019,18:00:00,707.0
235,10.01.2019,19:00:00,775.0
236,10.01.2019,20:00:00,786.0
237,10.01.2019,21:00:00,743.0
238,10.01.2019,22:00:00,744.0
239,10.01.2019,23:00:00,701.0
240,11.01.2019,0:00:00,667.0
241,11.01.2019,1:00:00,643.0
242,11.01.2019,2:00:00,587.0
243,11.01.2019,3:00:00,597.0
244,11.01.2019,4:00:00,598.0
245,11.01.2019,5:00:00,567.0
246,11.01.2019,6:00:00,604.0
247,11.01.2019,7:00:00,601.0
248,11.01.2019,8:00:00,676.0
249,11.01.2019,9:00:00,700.0
250,11.01.2019,10:00:00,716.0
251,11.01.2019,11:00:00,701.0
252,11.01.2019,12:00:00,677.0
253,11.01.2019,13:00:00,716.0
254,11.01.2019,14:00:00,715.0
255,11.01.2019,15:00:00,698.0
256,11.01.2019,16:00:00,705.0
257,11.01.2019,17:00:00,715.0
258,11.01.2019,18:00:00,743.0
259,11.01.2019,19:00:00,816.0
260,11.01.2019,20:00:00,778.0
261,11.01.2019,21:00:00,783.0
262,11.01.2019,22:00:00,752.0
263,11.01.2019,23:00:00,728.0
264,12.01.2019,0:00:00,694.0
265,12.01.2019,1:00:00,622.0
266,12.01.2019,2:00:00,575.0
267,12.01.2019,3:00:00,574.0
268,12.01.2019,4:00:00,581.0
269,12.01.2019,5:00:00,569.0
270,12.01.2019,6:00:00,582.0
271,12.01.2019,7:00:00,611.0
272,12.01.2019,8:00:00,640.0
273,12.01.2019,9:00:00,650.0
274,12.01.2019,10:00:00,690.0
275,12.01.2019,11:00:00,699.0
276,12.01.2019,12:00:00,695.0
277,12.01.2019,13:00:00,733.0
278,12.01.2019,14:00:00,752.0
279,12.01.2019,15:00:00,759.0
280,12.01.2019,16:00:00,668.0
281,12.01.2019,17:00:00,660.0
282,12.01.2019,18:00:00,733.0
283,12.01.2019,19:00:00,840.0
284,12.01.2019,20:00:00,750.0
285,12.01.2019,21:00:00,729.0
286,12.01.2019,22:00:00,736.0
287,12.01.2019,23:00:00,705.0
288,13.01.2019,0:00:00,643.0
289,13.01.2019,1:00:00,591.0
290,13.01.2019,2:00:00,583.0
291,13.01.2019,3:00:00,558.0
292,13.01.2019,4:00:00,573.0
293,13.01.2019,5:00:00,543.0
294,13.01.2019,6:00:00,562.0
295,13.01.2019,7:00:00,546.0
296,13.01.2019,8:00:00,647.0
297,13.01.2019,9:00:00,651.0
298,13.01.2019,10:00:00,676.0
299,13.01.2019,11:00:00,611.0
300,13.01.2019,12:00:00,599.0
301,13.01.2019,13:00:00,640.0
302,13.01.2019,14:00:00,618.0
303,13.01.2019,15:00:00,618.0
304,13.01.2019,16:00:00,647.0
305,13.01.2019,17:00:00,656.0
306,13.01.2019,18:00:00,707.0
307,13.01.2019,19:00:00,798.0
308,13.01.2019,20:00:00,773.0
309,13.01.2019,21:00:00,749.0
310,13.01.2019,22:00:00,752.0
311,13.01.2019,23:00:00,728.0
312,14.01.2019,0:00:00,664.0
313,14.01.2019,1:00:00,616.0
314,14.01.2019,2:00:00,568.0
315,14.01.2019,3:00:00,572.0
316,14.01.2019,4:00:00,554.0
317,14.01.2019,5:00:00,538.0
318,14.01.2019,6:00:00,587.0
319,14.01.2019,7:00:00,607.0
320,14.01.2019,8:00:00,667.0
321,14.01.2019,9:00:00,719.0
